,cities,incidents,killed,latitude,longitude
8662,Bothell,3,1,47.76600000000001,-122.195
2854,Hamburg,3,1,40.5767,-76.0171
8670,Neshoba (county),3,1,32.7803,-89.1303
8672,Evergreen Park,5,1,41.735,-87.7071
2435,Seaford,25,1,38.6429,-75.6074
2857,Fort Myers Beach,6,1,26.4668,-81.95200000000001
2434,Chickasaw,3,1,40.437,-84.4949
7850,De Witt (Dewitt),3,1,41.8264,-90.5272
2432,Tangipahoa Parish,4,1,30.632,-90.2698
2430,Willowbrook,4,1,41.7231,-87.9535
8681,Elliston,3,1,37.1744,-80.232
8682,Battleboro,3,1,36.0716,-77.8131
2864,Delco,6,1,34.3017,-78.2969
8647,La Fayette (Lafayette),4,1,42.895,-76.1068
7914,Martinez (Pacheco),2,1,37.985,-122.07
8646,Richfield (Venice),2,1,38.7798,-112.048
7879,South Whitley,2,1,41.0782,-85.6287
7912,Daytona Beach (Daytona Beach Shores),3,1,29.1711,-80.9801
2467,North Strabane,2,1,40.2559,-80.1769
7910,Hunters,2,1,48.1428,-118.186
7907,Spencer (county),2,1,38.1199,-85.3375
8619,Bohannon,2,1,37.385,-76.3515
2466,Harlingen,13,1,26.1677,-97.6669
2832,Salton City,2,1,33.2177,-115.918
7903,Youngstown (Boardman),13,1,41.0367,-80.6596
8624,Huntington Station (Dix Hills),3,1,40.7771,-73.3339
2464,Benton County,5,1,40.6442,-87.36200000000002
7901,Springdale (Bethel Heights),4,1,36.2323,-94.1216
7900,Hamshire,2,1,29.8621,-94.3116
7899,Springfield Gardens (Laurelton),6,1,40.6777,-73.7452
8627,West Chicago,4,1,41.8923,-88.2198
2460,Orland Park,7,1,41.6051,-87.804
2844,Saint Elmo,2,1,39.0219,-88.8461
8633,Kempton (Albany),2,1,40.6319,-75.9313
7881,Inyokern,2,1,35.7024,-117.869
8635,Minong,3,1,46.0815,-91.9058
2456,Dacusville,2,1,34.9353,-82.5589
8637,Rock (county),3,1,42.7053,-88.8268
8640,D Hanis,2,1,29.2677,-99.2734
2453,Stevens County,4,1,37.1869,-101.252
8644,Yuba (county),2,1,39.1576,-121.557
4450,Allegany,3,1,42.0905,-78.4948
9786,Tipton,2,1,38.6543,-92.7866
9208,Hays (county),3,1,29.8823,-97.9516
11278,Mathiston,2,1,33.5402,-89.1242
11282,Francesville,2,1,40.9187,-86.8887
11283,Pittsburg (Lafayette),2,1,32.9764,-94.9875
11284,Mexia,2,1,31.6035,-96.4304
11289,Paint Lick,2,1,37.5931,-84.3266
11294,Philo,3,1,39.1843,-123.585
11299,Cadott,2,1,44.986,-91.1667
11306,Clinton Township (Charter Twp Of Clinton),2,1,42.5548,-82.8911
11307,New Church,3,1,37.9607,-75.5268
821,Connellsville,7,1,40.0044,-79.5913
11317,Baileyton,2,1,34.2607,-86.5892
812,Clay,9,1,38.4613,-81.0855
11325,Champlain,2,1,44.9599,-73.3811
11333,Bay Springs,3,1,31.979,-89.2885
11338,Evans Mills,4,1,44.084,-75.8744
11340,Mohnton,2,1,40.2207,-76.0259
11341,Prior Lake,4,1,44.7291,-93.4647
11380,Chanute,3,1,37.6799,-95.4593
11379,Orlando (Edgewood),2,1,28.4927,-81.383
11378,Mulhall,2,1,36.0627,-97.4044
11375,Alsea,2,1,44.3706,-123.641
779,Big Pine Key,5,1,24.6714,-81.3397
11368,Saint Paul (Vadnais Heights),3,1,44.9832,-93.0812
11275,Ochelata,2,1,36.6339,-95.9641
781,Lake Park,4,1,26.8001,-80.0549
790,Shasta County,4,1,40.7909,-121.847
792,Saint James,4,1,43.9811,-94.6276
11353,Spreckels,2,1,36.6243,-121.647
793,Parker (county),3,1,32.917,-97.6338
11346,Long Beach (North Long Beach),2,1,33.8524,-118.194
11344,Sebastian (Barefoot Bay),2,1,27.7897,-80.4784
783,Hickory Hill,4,1,35.0655,-89.8595
11381,California (Mentor),2,1,38.8901,-84.2487
11272,Mabank (Gun Barrel City),4,1,32.3229,-96.1498
11265,Tishomingo,5,1,34.2888,-96.7819
900,Ponca City,5,1,36.7105,-97.0656
11191,Rushsylvania,2,1,40.4926,-83.65700000000002
11194,Indianola,4,1,33.4343,-90.6482
11197,Winnebago,2,1,42.2084,-89.2311
895,Morgan County,5,1,34.5108,-86.7914
892,Roscommon Township,2,1,44.2223,-84.7524
11202,Tampa (Clair Mel City),2,1,27.9158,-82.3639
11211,Rockledge (Viera),2,1,28.3066,-80.7282
11212,Lake Villa,2,1,42.3986,-88.1032
11215,Bonnieville,2,1,37.409,-85.8974
11221,Roma (Fronton),2,1,26.4118,-98.9977
11223,Cleveland (Plum Grove),3,1,30.2559,-95.0674
11231,Wesson,2,1,31.6504,-90.3761
869,Wattsburg,3,1,41.9965,-79.8339
866,Wayland,4,1,42.6595,-85.5841
11236,Charles Mix (county),2,1,43.0557,-98.2923
11237,Grand Portage,2,1,47.9263,-89.7295
11264,Colorado Springs (Fort Carson),4,1,38.7363,-104.783
11263,Barnardsville,2,1,35.7626,-82.402
11262,Selden,4,1,40.8623,-73.058
852,Ladysmith,3,1,45.4615,-91.1386
854,San Patricio County,3,1,28.0398,-97.51
11257,Westcliffe (Silver Cliff),2,1,38.1394,-105.422
848,Mamou,4,1,30.5935,-92.4068
11256,Justin,3,1,33.0167,-97.3183
860,Lyndhurst,7,1,40.8064,-74.1257
11248,Spring Hill (Hernando Beach),2,1,28.4513,-82.66
11245,Wellington (Topaz Ranch Estates),2,1,38.7427,-119.536
11241,Desert Hot Springs (Desert Edge),2,1,33.9253,-116.443
11240,York Springs,3,1,39.9494,-77.1064
11239,Belton (Morgans Point Resort),2,1,31.1401,-97.4621
11250,Mount Olivet,2,1,38.4849,-84.053
11384,Omaha (Benson),2,1,41.2988,-96.0116
768,Attleboro,13,1,41.9205,-71.3154
11393,Fort Worth (River Oaks),2,1,32.7821,-97.3973
11505,Green Pond,2,1,32.6332,-80.5947
11509,Aneth,2,1,37.2108,-109.29
11510,Ganado,2,1,35.7178,-109.568
689,Tamarac,3,1,26.2231,-80.2664
688,Fontaine,2,1,36.0023,-90.8124
11517,Gallitzin,2,1,40.5355,-78.5575
11519,Rienzi,2,1,34.7662,-88.5281
681,Blount,2,1,34.0145,-86.4997
11526,Kirbyville,2,1,30.6502,-93.8914
11529,Mendocino,2,1,39.3446,-123.776
11530,Carlock,2,1,40.5786,-89.1365
11534,North Manchester,2,1,40.9991,-85.7643
671,Norwood,11,1,35.2186,-80.1287
11542,Morrilton,2,1,35.1521,-92.7301
11543,Mchenry (Holiday Hills),2,1,42.287,-88.2318
11549,Gerrardstown,2,1,39.4087,-78.1131
11550,Marengo (county),2,1,32.491,-87.8487
638,Bono,3,1,35.9061,-90.8036
11587,Shiner,2,1,29.4578,-97.2435
641,Wake County,3,1,35.8032,-78.5661
11583,Mc Cool (Mccool),3,1,33.1716,-89.4366
11582,Campo,3,1,32.6015,-116.6
11579,New Orleans (Broadmoor),4,1,29.9433,-90.1014
11503,Maybrook,2,1,41.488,-74.2117
11577,Cleburne (county),3,1,35.4796,-92.0154
11571,Hyattsville (Langley Park),2,1,38.9928,-76.9845
11569,Franklin (Union),2,1,35.183,-83.3826
11564,Hyattsville (Adelphi),3,1,39.0038,-76.9765
653,Oracle,3,1,32.6173,-110.782
11557,Hidden Valley Lake,2,1,38.8003,-122.564
11551,Sardis,4,1,34.4206,-89.9047
11574,Glennville,3,1,31.8813,-81.8812
693,Winnebago County,6,1,43.3482,-93.6623
697,Tallapoosa,2,1,32.8718,-85.9136
11493,Ledbetter (Waldeck),2,1,30.0647,-96.7949
11427,Papaaloa,2,1,19.9186,-155.197
11423,Corvallis (Adair Village),2,1,44.6841,-123.218
11422,Brush Prairie,2,1,45.7339,-122.496
11419,Syracuse (Dewitt),4,1,43.0788,-76.1015
745,Wheatfield,4,1,43.0917,-78.881
11414,Mesopotamia,2,1,41.4586,-80.9785
11428,Maytown,2,1,40.0748,-76.5815
751,Guntersville,9,1,34.3111,-86.31299999999997
11409,Drumright,2,1,35.9869,-96.6114
11408,Stewartstown,2,1,39.755,-76.5842
11403,Ukiah,7,1,39.1455,-123.208
11401,Fort Worth (Edgecliff Village),2,1,32.8319,-97.2438
758,Hoke County,3,1,34.9837,-79.1909
11394,Oak Brook,2,1,41.8036,-87.9285
752,Wesley Chapel,13,1,28.2486,-82.3552
11185,Kinder,3,1,30.4932,-92.8446
11434,Lake Cormorant,2,1,34.8834,-90.2487
11441,Decker,2,1,38.5173,-87.5398
11492,Walstonburg,2,1,35.6108,-77.697
11490,Pagosa Springs,2,1,37.2485,-107.073
11487,Java,2,1,36.8899,-79.1507
11480,Daleville (Level Plains),2,1,31.2704,-85.7669
713,Ohio County,4,1,38.9776,-85.0011
11466,Bassfield,3,1,31.5156,-89.6561
11437,Potts Camp (Bethlehem),2,1,34.5833,-89.3814
11462,Sunland,3,1,34.2596,-118.305
11453,Sitka,3,1,57.0977,-135.39600000000002
723,Claiborne,2,1,32.0332,-91.0011
11449,Littlefield,3,1,33.916,-102.333
726,Felton,12,1,39.0337,-75.7213
11444,Mathews (county),2,1,37.3983,-76.3074
11442,Goodridge,2,1,48.1349,-95.7974
11458,Estes Park,3,1,40.3433,-105.515
637,Parlier,8,1,36.6068,-119.544
906,West Odessa,3,1,31.8423,-102.499
11174,Willards,3,1,38.3938,-75.3556
10870,Elk Grove Village,4,1,41.9991,-87.9595
10873,Alstead,2,1,43.0781,-72.3551
10874,Fairland,3,1,36.7417,-94.8373
10878,Pleasureville,2,1,38.3518,-85.1107
1098,Pittsford,9,1,41.8631,-84.4728
10880,Leasburg,2,1,38.0434,-91.2698
10882,Reagan,2,1,35.5014,-88.3796
10886,Parrish,5,1,27.551,-82.4278
10888,Baton Rouge (Scotlandville),4,1,30.5385,-91.1776
1093,Hawesville,3,1,37.815,-86.7562
1090,Gorham,9,1,43.7051,-70.4074
1088,Lake County,10,1,42.4007,-88.1305
10896,Rachel,2,1,39.5234,-80.2986
1085,Melville,3,1,30.7097,-91.7753
10903,Laie,2,1,21.628,-157.922
1078,Floral City,4,1,28.7308,-82.2945
10908,Bradyville,2,1,35.72,-86.1704
10944,Duck Hill,2,1,33.6335,-89.7115
10943,Fritch,2,1,35.6242,-101.566
10941,Harrisburg (Penbrook),4,1,40.2769,-76.8461
10939,Maysel,2,1,38.4672,-81.1398
10938,Kelseyville,4,1,38.9793,-122.839
10936,Nathalie,2,1,37.017,-78.9304
1103,Somersworth,10,1,43.2642,-70.8639
10934,Los Angeles (Mar Vista),3,1,34.0081,-118.451
10923,Itta Bena,3,1,33.5101,-90.3371
10922,Courtland,5,1,34.2723,-89.9515
10921,New Concord,2,1,39.9939,-81.6999
10920,New Caney,2,1,30.1596,-95.1714
1070,Harvest,9,1,34.812,-86.7665
10912,Goliad,3,1,28.4116,-97.4091
1068,Sequatchie County,3,1,35.3469,-85.3963
1057,Interlachen,5,1,29.6192,-81.9434
10864,Sewanee,2,1,35.2391,-85.8897
10861,Pittsburgh (Dormont),2,1,40.3988,-80.0343
10783,Allison,2,1,42.7492,-92.8047
1152,Marble Hill,5,1,37.3245,-89.98
1151,Daytona,3,1,29.1758,-81.0253
10789,Cuero,2,1,29.103,-97.285
10790,Franklin (Carlisle),2,1,39.5889,-84.2915
10792,Desha,3,1,35.7299,-91.6838
10794,Mission Bend,2,1,29.6859,-95.6485
10796,Valley Springs,8,1,38.1486,-120.826
10801,Eustace,2,1,32.2318,-95.9975
10802,Campbellton,3,1,28.7628,-98.2039
10804,Whiteside,2,1,34.9891,-85.4986
10806,Ash Flat,4,1,36.219,-91.6253
10807,Riverside (North Riverside),2,1,41.8503,-87.8039
10808,La Grange (Lagrange),3,1,38.4411,-85.3136
10809,Sterlington,2,1,32.7014,-92.0654
10810,Hunt (county),3,1,33.0496,-96.1722
10812,Gooding,2,1,42.9315,-114.654
10858,Pinetown,3,1,35.5102,-76.6707
10855,Gilmer,3,1,32.76,-94.9867
10852,West Linn,4,1,45.351000000000006,-122.679
10847,Nolensville,2,1,35.9476,-86.6957
1117,Oconomowoc (Summit),2,1,43.0577,-88.4408
1118,Oley,3,1,40.4095,-75.7293
10862,Polkton,2,1,35.12,-80.161
1120,Spring Arbor Township,2,1,42.2253,-84.5593
10833,Newton Falls,2,1,41.1951,-80.97800000000002
1130,Traverse City,22,1,44.7702,-85.6595
10826,Sacramento (Fruitridge),3,1,38.5345,-121.455
10824,Liberty (Pleasant Valley),3,1,39.2407,-94.3029
1135,Columbus (Bexley),4,1,39.9489,-82.9399
10818,Macon (Prairie Point),2,1,33.1613,-88.5301
10837,Black Rock,2,1,36.1228,-91.1793
10951,Saint Paul (Woodbury),4,1,44.9384,-92.8924
10952,Gilmer (county),2,1,34.692,-84.5295
1052,Montevallo,4,1,33.1228,-86.5894
11054,Noxapater,2,1,32.9895,-89.0829
11063,Twin City,3,1,32.4396,-82.204
11064,Topock (Golden Shores),2,1,34.7672,-114.496
989,Altavista,4,1,37.1135,-79.2831
11071,Scotts,2,1,42.1814,-85.4138
11075,Kipnuk,4,1,59.9219,-164.05700000000004
11078,Cove City,3,1,35.1902,-77.3335
978,Mecca,7,1,33.5694,-116.093
975,White Marsh,3,1,39.4017,-76.4213
11088,Schofield (Weston),2,1,44.909,-89.598
966,Winooski,12,1,44.4913,-73.1919
11099,Seabeck,2,1,47.6455,-122.837
11103,Lyles,3,1,35.8619,-87.3652
11104,Bull Shoals,2,1,36.3793,-92.5871
11105,Commodore,4,1,40.7156,-78.9205
11110,Waitsburg,2,1,46.2713,-118.153
11114,Lindstrom,2,1,45.4397,-92.8748
11169,Star City,3,1,33.9402,-91.8077
11168,Scammon,2,1,37.2746,-94.8206
11162,Otterville,2,1,38.7033,-92.9948
11161,Grayslake,3,1,42.3538,-88.0385
11160,North Judson,3,1,41.2151,-86.7758
11159,Fleming,2,1,31.8645,-81.4355
11049,Wever,2,1,40.7238,-91.2378
11150,Saint Croix,2,1,38.187,-86.5934
933,Beekman,5,1,41.6109,-73.7129
11138,Islamorada (Matecumbe Key),2,1,24.8548,-80.7313
939,Brodhead,4,1,37.3753,-84.4389
11126,Sebeka,2,1,46.6284,-95.0523
11121,Lumpkin,3,1,32.051,-84.7991
11119,Snowmass Village,3,1,39.2083,-106.952
11143,Bell Buckle,3,1,35.6466,-86.4007
1001,Cushing,6,1,44.0158,-69.2487
11046,Cave In Rock,2,1,37.4708,-88.1661
11043,Efland,4,1,36.0736,-79.1695
1036,Westwego (Bridge City),10,1,29.9094,-90.1627
10989,Atlanta (Hapeville),3,1,33.7508,-84.3899
10988,Ashland City,4,1,36.192,-87.0627
10987,Earle,2,1,35.2638,-90.4561
10981,Toms River (Berkeley Township),2,1,39.9421,-74.1959
1040,Lisle,5,1,41.7999,-88.0694
10996,Camanche,2,1,41.7869,-90.2528
10976,Madelia,2,1,44.0219,-94.4423
10972,Pittsburgh (Ben Avon),2,1,40.5058,-80.0761
10970,Middle Village,3,1,40.7195,-73.8912
10964,Cincinnati (Springdale),2,1,39.2942,-84.4842
10963,Millston,2,1,44.1925,-90.6494
10959,Hamer,4,1,34.5217,-79.3769
10957,Evansville (Darmstadt),2,1,38.1005,-87.571
10975,Saint Paul (Mendota Heights),3,1,44.9021,-93.1374
11178,Saint Louis (St. Louis),2,1,38.7124,-90.2568
10998,New Martinsville,3,1,39.6604,-80.8575
1031,Putnam,5,1,41.9074,-71.9188
11040,Leadwood,3,1,37.8602,-90.5936
1012,Castalia,4,1,41.3468,-82.7642
11031,Edgeley,2,1,46.3765,-98.7138
11025,Tazewell (county),2,1,37.2323,-81.4211
1019,Niceville,24,1,30.5021,-86.4499
11021,Cosby,3,1,35.8568,-83.2505
11000,Coggon,2,1,42.2543,-91.5785
11020,Bradenton (Lakewood Ranch),3,1,27.4305,-82.404
11014,Tahoe City,2,1,39.2053,-120.202
11011,Lillian,2,1,30.4117,-87.4401
11010,East Springfield,3,1,41.9842,-80.3882
11009,Panhandle,2,1,35.3205,-101.447
11003,Fouke,3,1,33.3026,-93.8775
1030,Warren County,9,1,40.759,-90.4727
11017,Saint Petersburg (Gulfport),3,1,27.7445,-82.6948
11590,Kinzers,2,1,40.0027,-76.0487
11594,Orrington,2,1,44.723,-68.7988
11600,Dundee Township,2,1,42.0867,-88.2758
12238,Anderson (Chesterfield),2,1,40.1058,-85.5937
12243,Cadet,2,1,38.0711,-90.7361
12246,Midlothian (Crestwood),2,1,41.6384,-87.7425
12247,Kiln,2,1,30.4787,-89.4365
12256,Dakota City,2,1,42.7179,-94.2026
12257,Coaling,2,1,33.1541,-87.3358
12260,Lawrence Township (Lawrenceville),2,1,40.2936,-74.6835
12266,Saint Anne,2,1,41.0348,-87.7452
12271,Wilmar,2,1,33.6167,-91.9283
12278,Saguache,2,1,38.1994,-106.828
12279,Carterville (Crainville),2,1,37.7484,-89.0585
12280,Chiefland,2,1,29.5041,-82.7978
158,Davison,6,1,42.9854,-83.5261
12283,Oakland City,2,1,38.3427,-87.3535
12286,Round Lake (Hainesville),2,1,42.3562,-88.0691
153,Fort Lee,9,1,40.8567,-73.9732
12290,Ellington,3,1,41.9364,-72.3648
133,Elliott County,3,1,38.1575,-83.12200000000001
12319,Delavan,2,1,40.3362,-89.5083
12318,Oxon Hill (Forest Heights),2,1,38.8073,-77.0024
12315,Falcon,2,1,37.6302,-92.4474
12314,Appanoose (county),2,1,40.7405,-92.8935
12309,Clearfield (Sunset),2,1,41.1335,-112.034
12237,Pitkin,2,1,30.8155,-92.6526
12307,Zion Grove,2,1,40.8826,-76.2378
12305,Fife Lake,2,1,44.5483,-85.2881
142,Detroit (Redford Charter Township),3,1,42.342,-83.2588
12301,Kutztown,2,1,40.5261,-75.7692
145,Castlewood,3,1,36.8901,-82.2796
12293,Concepcion,2,1,27.405,-98.3776
150,Miami Township,3,1,39.241,-84.277
12306,Moreauville,2,1,31.0478,-91.9792
12328,Vadito,2,1,36.128,-105.647
12236,Clearfield (West Point),2,1,41.1203,-112.089
12225,Big Flats,2,1,42.1728,-76.9625
290,Parma Heights,2,1,41.3753,-81.752
12100,Bedford (Fayetteville),2,1,38.8638,-86.585
12102,Cullowhee,2,1,35.3052,-83.1752
12103,Perryopolis,2,1,40.0887,-79.7534
12110,Wallback,2,1,38.5025,-81.1415
276,Defuniak Springs,24,1,30.7561,-86.2585
12114,Crucible,2,1,39.9484,-79.9652
12115,Casar,2,1,35.4882,-81.6304
12119,Roaring River,2,1,36.28,-80.9957
12127,Emmet,2,1,33.7478,-93.4782
260,Campbell County,6,1,36.3817,-84.1857
12138,Sedamsville,2,1,39.0904,-84.5704
255,Yakima County,2,1,46.5436,-120.756
12141,Bayfield,2,1,37.2182,-107.605
12142,Kanab,3,1,37.0414,-112.494
12148,Rumson,2,1,40.3689,-73.9983
250,Lockwood,5,1,37.3898,-93.9616
12210,Kingfisher,2,1,35.8415,-97.9057
12203,Senatobia,2,1,34.6207,-89.9515
12201,Grand Ronde,2,1,45.0616,-123.573
215,Hondo,2,1,29.3582,-99.1285
12196,Bellefonte (Pleasant Gap),2,1,40.8711,-77.7382
12193,Wampum,2,1,40.9213,-80.3764
187,Shenandoah,9,1,40.8179,-76.2053
12189,Hydaburg,2,1,55.1584,-132.44
12184,Fort Yates,2,1,46.1188,-100.657
12182,Greig,2,1,43.666,-75.2899
228,Amory,10,1,33.9829,-88.4807
12174,Grayslake (Gages Lake),2,1,42.3466,-87.9884
12158,Peggs,2,1,36.1056,-95.0902
12156,Glendive,2,1,47.0826,-104.846
221,Odenton,21,1,39.1082,-76.7155
12329,Cincinnati (Kennedy Heights),2,1,39.1818,-84.4144
12333,Saint Louisville,2,1,40.1849,-82.353
12340,Sells,2,1,31.9213,-111.89
12472,Drums,2,1,41.034017,-76.003059
12477,Homedale,2,1,43.635593,-116.96811000000001
12479,Cope,2,1,33.381696000000005,-80.956389
12480,Pardeeville,2,1,43.516771999999996,-89.31459
12481,Harborcreek,2,1,42.172938,-79.937675
12484,Toquerville,2,1,37.237701,-113.332321
12486,Montezuma Creek,2,1,37.25391,-109.10607900000001
12488,Surgoinsville,2,1,36.520167,-82.857862
12489,Myra,2,1,38.222163,-82.11355400000001
12490,Little Hocking,2,1,39.274634999999996,-81.655976
12493,Mount Carmel,2,1,40.803636,-76.428612
12494,Lanark,2,1,37.748934999999996,-81.224458
12496,Carrizozo,2,1,33.641799,-105.87581599999999
12497,Ishpeming,2,1,46.43869,-87.709096
12498,Okemah,2,1,35.462680999999996,-96.430286
22,Pinckneyville,3,1,38.0947,-89.3915
12500,Iron River,2,1,46.120470000000005,-88.618995
12538,Harper,2,1,37.111488,-98.048121
12537,Montcalm,2,1,43.279958,-85.05493
12536,Herreid,2,1,45.833733,-100.020048
12532,Hughson,2,1,37.545683000000004,-120.96609099999999
12527,Shuqualak,2,1,33.082645,-88.659645
8,Bibb County,21,1,32.8517,-83.5755
12466,Dawson (county),2,1,34.4095,-84.0943
12524,Sierra Blanca,2,1,31.315723,-105.45256200000001
12516,Spiceland,2,1,39.91725,-85.450834
12512,Bensenville,2,1,41.839679,-88.088716
12511,Premont,2,1,27.315241999999998,-98.164332
12510,Creola,2,1,30.944615999999996,-88.090905
12507,Caulfield,2,1,36.578961,-92.051654
12503,Groveton,2,1,44.75096,-71.422453
12520,Counce,2,1,35.110079,-88.292167
12465,Granada Hills,2,1,34.2841,-118.511
35,Clementon,6,1,39.8068,-75.02600000000002
12462,Wrens,2,1,33.2463,-82.3173
12397,Baltic (Sprague),2,1,41.5992,-72.0449
12388,Lanesboro (Lanesborough),3,1,42.5351,-73.1954
87,Okmulgee County,4,1,35.6796,-95.9833
96,Cromwell,10,1,37.3529,-86.7595
12369,Old Forge,2,1,41.3613,-75.7424
12368,Clark Fork,2,1,48.1922,-116.168
12417,Moxee,2,1,46.5289,-120.384
12366,Debord,2,1,37.7893,-82.5913
12362,Big Bend,2,1,38.9698,-81.1149
12355,South Jamesport,2,1,40.9364,-72.5794
12354,Dothan (Kinsey),2,1,31.2874,-85.3458
12352,Barron (county),2,1,45.3519,-91.8886
12348,Vacherie,2,1,29.9484,-90.7065
12345,Melbourne Beach,2,1,28.0348,-80.5421
12365,Plantersville (Todd Mission),2,1,30.2478,-95.821
12086,Swink,2,1,33.9908,-95.1565
12418,Jayess,2,1,31.4675,-90.2195
56,Duplin County,4,1,34.884,-78.0195
12460,Garrett,2,1,41.3484,-85.1331
12458,Pingree,2,1,43.0374,-112.653
12452,Ernul,2,1,35.2271,-77.0518
12449,Crowell,2,1,33.9574,-99.7015
12446,Brierfield,2,1,33.0357,-86.9742
12442,Lena,2,1,32.5736,-89.7465
12420,Okanogan,2,1,48.3565,-119.593
12441,Fort Cobb,2,1,35.0978,-98.435
12439,Coltons Point,2,1,38.2292,-76.7608
12434,Oakridge,2,1,43.7481,-122.487
12433,Pittsburgh (Churchill),2,1,40.4445,-79.8564
12431,Saegertown,2,1,41.7349,-80.1512
12429,Aquasco,2,1,38.5806,-76.7238
12427,Raysal,2,1,37.3431,-81.7823
12440,Oroville (Butte Valley),2,1,39.6595,-121.626
12082,Concho,2,1,34.4286,-109.689
12079,Falkner,2,1,34.8581,-88.9735
12075,Bristol (Tullytown),2,1,40.139,-74.8153
11686,Halstad,2,1,47.3515,-96.8204
11691,Hindsville,2,1,36.1955,-93.8432
576,Wickliffe,10,1,41.6224,-81.4585
11701,Jenkins (county),2,1,32.6447,-81.9279
11704,Sublimity,2,1,44.853,-122.663
11711,Cruger,2,1,33.3209,-90.2329
11714,Nancy (Jabez),2,1,37.0415,-84.7931
11715,Forest Lakes,2,1,34.3307,-110.799
11718,Randle,2,1,46.5492,-121.68
11722,Fults,2,1,38.2296,-90.2298
11726,Bronston,3,1,37.1023,-84.6062
552,Rocky Hill,7,1,41.6491,-72.6702
11734,Lighthouse Point,3,1,26.2779,-80.1116
11739,Bainbridge Island,2,1,47.6249,-122.522
11742,Saint Louis (Webster Groves),3,1,38.6063,-90.3571
540,North English,3,1,41.5142,-92.0788
529,Moorestown,5,1,39.9451,-74.9595
489,Munhall,3,1,40.3899,-79.9009
502,Lone Wolf,2,1,34.991,-99.2507
11795,Grand Marais,2,1,47.7814,-90.3831
11793,Vinita,4,1,36.6168,-95.0887
11790,Ben Lomond,3,1,37.0987,-122.086
11789,Haralson (county),3,1,33.7313,-85.1295
11684,Pecos,3,1,35.5679,-105.664
11783,Patrick,2,1,34.5293,-80.0
11781,Chadron,3,1,42.8367,-103.006
11771,Globe,4,1,33.4034,-110.774
11770,Badger,2,1,48.7835,-96.013
11768,Spring Hill (Weeki Wachee Gardens),2,1,28.5388,-82.6188
522,Langsville,3,1,39.085,-82.2697
11760,Yancey (county),2,1,35.898,-82.2637
11782,Cherryfield (Beddington),2,1,44.8143,-68.0631
11681,Richmond (Richmnd),2,1,37.6044,-77.5412
11680,Puposky,2,1,47.8768,-95.0038
588,La Crosse,25,1,43.8006,-91.2515
11633,Los Angeles (Broadway Manchester),2,1,34.1002,-118.043
611,Bay,5,1,35.7453,-90.5687
11630,Jerseyville,2,1,39.1176,-90.3274
11627,Dibble,2,1,35.0313,-97.6311
11625,Alberta,2,1,32.2089,-87.3361
11622,Trosper,2,1,36.8332,-83.8408
11634,Michigan City (Trail Creek),2,1,41.6879,-86.8602
619,Riverside County,3,1,33.7687,-116.394
11613,Tripp (county),2,1,43.3456,-99.8966
625,Henrico County,4,1,37.6214,-77.4258
11609,Lone Jack,2,1,38.8815,-94.2195
11608,Miami (Pinecrest),2,1,25.702,-80.3421
11605,Badin,2,1,35.4055,-80.1075
11603,Farmerville (Rocky Branch),2,1,32.7663,-92.3688
621,South Milwaukee,4,1,42.8998,-87.8643
11811,Leesburg (Lucketts),2,1,39.2253,-77.5625
11637,Belhaven,3,1,35.5741,-76.5918
11641,Piscataway,3,1,40.5942,-74.4536
591,Menlo Park,9,1,37.4812,-122.14
11673,Belleville (Van Buren Twp),3,1,42.2523,-83.4838
11671,Louisville (Hurstbourne),2,1,38.2467,-85.5967
11669,Saint Rose (St Rose),2,1,29.9593,-90.3058
11668,Millerton,2,1,33.9886,-95.0151
11666,Bruneau,2,1,42.8353,-115.749
11638,Walnut Shade,2,1,36.7701,-93.2243
11661,Sugar Grove,3,1,41.7617,-88.443
11658,Grand Canyon (Grand Canyon National Park),2,1,36.0621,-112.11
602,Collins,4,1,31.6369,-89.5493
11650,Woodbury (West Deptford),6,1,39.8228,-75.1622
11648,Gardiner (West Gardiner),2,1,44.25100000000001,-69.8641
11647,Glen Saint Mary (Glen St Mary),2,1,30.2797,-82.1749
11642,Pauma Valley,2,1,33.289,-116.958
11660,Lehigh,2,1,38.377,-97.3025
1157,Engle,2,1,29.6887,-96.9206
11812,Riverdale (Riverdale Park),2,1,38.957,-76.9243
11823,Schenectady (Glenville),3,1,42.8886,-73.9231
11933,Union Point (Woodville),2,1,33.7163,-83.068
11942,Blooming Prairie,2,1,43.8536,-93.0415
11946,Simsboro,2,1,32.5294,-92.7867
399,Colonie,11,1,42.7544,-73.7588
11954,O Fallon (Shiloh),3,1,38.5664,-89.89299999999999
377,Boiling Spring Lakes,2,1,34.0203,-78.0444
11976,Chester (Upland),2,1,39.8566,-75.37899999999998
11987,Rocky Comfort,2,1,36.707,-94.1854
11995,Chattahoochee,2,1,30.6852,-84.8287
11996,Avis,2,1,41.1875,-77.3062
11997,Frametown,2,1,38.6872,-80.9212
11999,Laguna Hills,2,1,33.5853,-117.709
352,West New York,5,1,40.7889,-74.02199999999998
12012,Linesville,2,1,41.6865,-80.4277
12014,Mc Dowell,2,1,38.3789,-79.4687
12016,Ethelsville,2,1,33.4781,-88.2395
345,Cranston,47,1,41.7802,-71.4657
12070,Tornillo,2,1,31.454,-106.092
12063,Beggs (Winchester),2,1,35.7648,-96.041
314,Bee County,2,1,28.4008,-97.7483
